step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
10,1.994558027945459,window_recluster,10,10,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,2.4544019252061844,window_recluster,20,20,20,0,2,0.3877551020408163,0.5757575757575758,0.1910828025477707,0.75,0.41263064919770354,0.6272038033313857
30,3.3060640562325716,window_recluster,30,30,30,0,4,0.631578947368421,0.7792207792207793,0.09776536312849161,0.9333333333333333,0.6187428684824131,0.7829592236558547
40,6.443516002036631,window_recluster,40,40,40,0,5,1.0,0.7814569536423841,0.0,0.9,0.8369970404175044,0.8844357240079964
50,3.311829990707338,window_recluster,40,40,50,0,5,1.0,0.9391891891891891,0.0,0.975,0.96157971934587,0.9749690251162777
60,3.804977983236313,window_recluster,40,40,60,0,5,1.0,0.9436619718309859,0.0,0.975,0.9647903218525707,0.9761061562835589
70,3.060973947867751,window_recluster,40,40,70,0,5,1.0,0.851063829787234,0.0,0.925,0.8997862574021515,0.9288720944710311
80,3.580545075237751,window_recluster,40,40,80,0,5,1.0,0.8040540540540541,0.0,0.9,0.8448334659543026,0.8679494466399801
90,3.0034160008654,window_recluster,40,40,90,0,5,1.0,0.8843537414965986,0.0,0.95,0.9212677904511961,0.9410309274002682
100,3.4176770132035017,window_recluster,40,40,100,0,3,0.525691699604743,0.9432624113475178,0.18779342723004694,0.975,0.5769025401103511,0.7768058009808549
110,3.8694660179316998,window_recluster,40,40,110,0,5,1.0,0.9014084507042254,0.0,0.95,0.9330449114132674,0.94433531208052
120,3.4152090083807707,window_recluster,40,40,120,0,5,1.0,0.9652777777777778,0.0,0.975,0.9784182216614649,0.9792717939866815
