step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
10,1.487505971454084,incremental_mst_cluster,10,10,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,2.6939469389617443,incremental_mst_cluster,20,20,20,0,2,0.3877551020408163,0.5757575757575758,0.1910828025477707,0.75,0.41263064919770354,0.6272038033313857
30,4.625889007002115,incremental_mst_cluster,30,30,30,0,4,0.631578947368421,0.7792207792207793,0.09776536312849161,0.9333333333333333,0.6187428684824131,0.7829592236558547
40,6.730417022481561,incremental_mst_cluster,40,40,40,0,5,0.9495798319327731,0.7483443708609272,0.009538950715421303,0.9,0.7891060665802963,0.8423662773193886
50,5.392780993133783,incremental_mst_cluster,50,50,50,0,5,1.0,0.8728070175438597,0.0,0.94,0.9154468776315002,0.9372605495402783
60,28.038781019859016,incremental_mst_cluster,60,60,60,0,5,1.0,0.8644578313253012,0.0,0.9333333333333333,0.9048698143464173,0.9173707646185306
70,9.720620000734925,incremental_mst_cluster,70,70,70,0,5,1.0,0.8293216630196937,0.0,0.9142857142857143,0.8731983559177345,0.8863483327697457
80,13.7160379672423,incremental_mst_cluster,80,80,80,0,5,1.0,0.8311258278145696,0.0,0.9125,0.873795713723948,0.8839359779986542
90,8.233433938585222,incremental_mst_cluster,90,90,90,0,5,1.0,0.8502604166666666,0.0,0.9222222222222223,0.8884670838022205,0.8847875798160081
100,11.759055079892278,incremental_mst_cluster,100,100,100,0,5,1.0,0.8811777076761304,0.0,0.94,0.9160028869389005,0.9134659115123308
110,8.910711039789021,incremental_mst_cluster,110,110,110,0,5,1.0,0.8753246753246753,0.0,0.9363636363636364,0.9111408487533262,0.9087919032278003
120,9.977085050195456,incremental_mst_cluster,120,120,120,0,5,1.0,0.8855072463768116,0.0,0.9416666666666667,0.9192536839256508,0.9146648331760384
